山田,隆司,ヤマダ,タカシ,男性,1987,10,15,080-3333-3333,test1@hal.ac,test1,530-0003,大阪府,大阪市淀川区,2-3-21,高校生,原付,あり,普通車AT,1,,「スカイハイ」 (シングル),2019-05-11,2019-05-23,2019-03-19,午前,6時頃,ご質問
山岡,大介,ヤマオカ,ダイスケ,男性,1992,5,15,06-2019-2019,yamaoka@hal.ac,515,222-3333,岩手県,おにぎり市,もぐもぐ丁,高校生,なし,なし,普通車MT,1,,「スカイハイ」 (シングル),2019-03-05,2019-03-07,2019-03-09,いつでも,12時,
金本,貴浩,カネモト,タカヒロ,男性,1995,5,5,090-5555-5555,takahiro.hal.ac,takahiro,555-444,広島県,広島市南区,2丁目,会社員,二輪,あり,普通車MT,2,山田　山田,コテージ 「フィット」,2019-05-16,2019-05-18,2019-05-30,午前,,
谷,ううう,タニ,ウウウ,女性,1998,2,4,09078643469,hide555@ezweb.jp,ohs80436,5320001,沖縄県,那覇市,1-2-55,その他,なし,あり,普通車MT,2,岡本秀紀,メゾン 「ウィング」 (シングル),2019-03-14,2019-03-16,2019-03-19,いつでも,,秀紀君と同じ部屋で！！！！！！！！！！！！
佐藤,和磨,サトウ,カズマ,女性,1990,9,10,090-1234-5678,satokazu@gmail.com,12345678,5700012,三重県,鈴鹿市,1-2-3,その他,二輪,あり,普通車MT,48,天 * 48,コテージ 「フィット」,2019-03-16,2019-03-16,2019-03-16,午前,,特になし
陳,頴兆,チン,エイチョウ,男性,1994,3,9,12345678,chenmiaochao@yeah.net,qwertyu,5580014,大阪府,住吉区我孫子１,１－１２,その他,なし,なし,普通車MT,9,ああああああ,「スカイハイ」 (ツイン),2019-03-12,2019-03-19,2019-03-26,いつでも,なし,なし
a,a,a,a,女性,1,1,1,11,1@1,1,433,北海道,1,2,高校生,なし,なし,普通車AT,1,,メゾン 「ウィング」 (シングル),2019-03-19,2019-03-28,2019-03-30,午前,1,
okp,kop,jnk,p,男性,2011,1,1,11111111,1@1,123456,qwert,大阪府,osaka,3-31,高校生,なし,なし,普通車AT,1,,「スカイハイ」 (ツイン),2019-03-12,2019-03-14,2019-03-16,いつでも,,
1,1,1,1,男性,1,1,1,111,111@1,11,11,千葉県,1,1,高校生,なし,なし,普通車AT,1,,「スカイハイ」 (ツイン),2019-03-12,2019-03-21,2019-03-30,午前,,
1,1,1,1,男性,1,1,1,1,1@1,1,111,岩手県,11,11,大学生,原付,あり,普通車MT,2,11,「スカイハイ」 (ツイン),2019-03-12,2019-03-21,2019-05-16,午後,,
aa,a,aa,a,女性,1,1,1,111,111@1,111,5321111,長野県,1,1,高校生,なし,あり,普通車MT,1,,コテージ 「フィット」,2019-03-28,2019-03-12,2019-04-18,いつでも,,
aaa,aaa,aaa,aaa,男性,-1998,1,1,11,1@1,111,66,青森県,1,1,高校生,なし,なし,普通車AT,2,11,「スカイハイ」 (ツイン),2019-03-12,2019-03-14,2019-03-21,午前,,
111,111,111,111,女性,1,1,1,1111,11@1,111,222,青森県,212,2121,高校生,なし,なし,普通車AT,2,11,コテージ 「フィット」,2019-03-12,2019-03-21,2019-03-19,午前,,
1111,1111,111,111,女性,11,11,11,1111,1@1,222,1112222,神奈川県,1,1,高校生,なし,なし,普通車AT,1,,コテージ 「フィット」,2019-03-12,2019-03-30,2019-03-28,午後,,
1111,1111,111,111,女性,11,11,11,1111,1@1,2222,1112222,神奈川県,1,1,高校生,なし,なし,普通車AT,1,,コテージ 「フィット」,2019-03-12,2019-03-30,2019-03-28,午後,,
11,11,111,11,男性,11,11,11,111,11@1,111,111111,長野県,11,11,高校生,なし,なし,普通車AT,2,111,「スカイハイ」 (ツイン),2019-03-12,2019-03-21,2019-03-30,午前,,
ああ,ああ,ああ,ああ￥」,男性,111,11,11,111,11@11,111,5422222,長野県,11,111,会社員,なし,なし,普通車MT,2,11,「スカイハイ」 (ツイン),2019-03-12,2019-03-23,2019-03-21,いつでも,,
kihara,ten,rasora,haki,男性,2121,111,11,11111111,sxjgxkdgxdhgjdg@wgwdnxwdg,12341234,2345,山梨県,左上のほう,４ぐらい,高校生,なし,なし,普通車AT,３～２３,いっぱいいたりします,「スカイハイ」 (ツイン),2019-03-12,2019-03-14,2019-03-19,午前,起きてません,免許取りたい
あ,あ,あ,あ,男性,1998,12,12,1212--31-,1@1,111,5320001,神奈川県,1,1,高校生,なし,なし,普通車AT,1,,「スカイハイ」 (シングル),2019-06-25,2019-06-27,2019-06-29,いつでも,1,
